@relation data_after_attack_1_epochs_20_iter_25_pts_1e-07_eps_1_iter



@attribute vehicle1.identifier numeric

@attribute vehicle1.trajectory numeric

@attribute vehicle2.identifier numeric

@attribute vehicle2.trajectory numeric

@attribute vehicle3.identifier numeric

@attribute vehicle3.trajectory numeric

@attribute vehicle4.identifier numeric

@attribute vehicle4.trajectory numeric

@attribute vehicle5.identifier numeric

@attribute vehicle5.trajectory numeric

@attribute distractors.butterfly_level numeric

@attribute distractors.bird_level numeric

@attribute distractors.far_moving_vegetation numeric

@attribute distractors.close_moving_vegetation numeric

@attribute occultants.solid_level numeric

@attribute occultants.semi_transparent_level numeric

@attribute capture.illumination_level numeric

@attribute capture.global_light_change_level numeric

@attribute capture.local_light_change_level numeric

@attribute capture.heat_haze_level numeric

@attribute capture.humidity_level numeric

@attribute capture.fog_level numeric

@attribute signal_quality.force_balance numeric

@attribute signal_quality.luminance_mean numeric

@attribute signal_quality.luminance_dev numeric

@attribute signal_quality.chrominance_U_mean numeric

@attribute signal_quality.chrominance_U_dev numeric

@attribute signal_quality.chrominance_V_mean numeric

@attribute signal_quality.chrominance_V_dev numeric

@attribute signal_quality.blur_level numeric

@attribute signal_quality.static_noise_level numeric

@attribute signal_quality.dynamic_noise_level numeric

@attribute signal_quality.frame_instability numeric

@attribute signal_quality.line_instability numeric

@attribute signal_quality.compression_artefact_level numeric

@attribute class {0,1}


@data



5,0,14,2,1,0,3,6,15,2,0.524668,0.21043,0.832859,0.079666,0.609094,0.451004,0.729618,0.397477,0.026981,0,0,0,0,137.841,78.369,120.258,5.23158,140.907,18.0126,0,0,0,0,0,0,0

7,6,14,7,12,5,12,3,8,3,0.060164,0.000467,0.66417,0.030067,0.427495,0.243482,0.909698,0.183565,0.067277,0.12764,0,0,0,80.1363,12.9715,136.591,31.9374,138.761,30.5142,0,0,0,0,0,0,0

8,0,1,0,9,4,13,6,2,3,0.160286,0.067413,0.145381,0.731,0.00094,0.249796,0.313071,0.176713,0.040602,0,0,0,0,164.683,76.3632,120.405,4.45041,141.904,19.2111,0,0,0,0,0,0,0

8,6,14,0,13,5,0,5,4,5,0.282144,0.069411,0.001225,0.903418,0.251206,0.365007,0.9046,0.515302,0.038088,0.053377,0,0,0,145.534,66.8499,142.225,30.7798,138.511,27.6095,0,0,0,0,0,0,0

2,7,5,5,15,4,10,4,12,7,0.49364,0.097362,0.142408,0.32448,0.74578,0.256613,0.972214,0.050787,0.337713,0.141239,0,0,0,166.745,73.2178,113.036,9.17327,141.794,8.11782,0,0,0,0,0,0,0

9,4,6,7,15,0,10,7,14,5,0.152523,0.170624,0.973626,0.468671,0.464351,0.600137,0.774,0.567599,0.019897,0,0,0,1,166.075,79.256,122.317,2.17577,129.561,1.29632,0,0,0,0,0,0,0

5,5,11,2,6,3,0,4,7,5,0.340371,0.003906,0.271333,0.319028,0.973359,0.914563,0.782519,0.105465,0.080172,0,0,0,0,158.083,74.5266,136.195,18.4639,130.162,21.869,0,0.410661,0,0,0,0,0

