50,29,32,17,67,26,35,59,57,67
74,37,70,47,48,47,29,55,110,49
50,80,75,78,76,73,155,98,82,91
3525,3478,3495,3535,3522,3552,3528,3492,3501,3537
2133,2097,2198,2297,2275,2141,2313,2142,2189,2210
2058,1845,2150,2084,2088,1993,2006,2057,2013,2078
2031,2017,2025,2040,1876,1928,2026,1934,1977,1937
